Scenario,Condition,Trial,MTTR_s
Firmware Upload,PostMitigation,3,40
Firmware Upload,PostMitigation,4,38
Firmware Upload,PostMitigation,5,42
Firmware Upload,PostMitigation,6,40
Firmware Upload,PostMitigation,7,41
Firmware Upload,PostMitigation,8,39
Firmware Upload,PostMitigation,9,40
Firmware Upload,PostMitigation,10,40
Firmware Upload,PostMitigation,11,39
Firmware Upload,PostMitigation,12,41
Firmware Upload,PostMitigation,13,42
Firmware Upload,PostMitigation,14,39
Firmware Upload,PostMitigation,15,40
Firmware Upload,PostMitigation,16,40
Firmware Upload,PostMitigation,17,41
Firmware Upload,PostMitigation,18,39
Firmware Upload,PostMitigation,19,40
Firmware Upload,PostMitigation,20,41
Configuration Dump,Baseline,1,73
Configuration Dump,Baseline,2,76
Configuration Dump,Baseline,3,74
Configuration Dump,Baseline,4,75
Configuration Dump,Baseline,5,77
Configuration Dump,Baseline,6,74
Configuration Dump,Baseline,7,76
Configuration Dump,Baseline,8,75
Configuration Dump,Baseline,9,73
Configuration Dump,Baseline,10,78
Configuration Dump,Baseline,11,74
Configuration Dump,Baseline,12,75
Configuration Dump,Baseline,13,76
Configuration Dump,Baseline,14,74
Configuration Dump,Baseline,15,77
Configuration Dump,Baseline,16,75
Configuration Dump,Baseline,17,73
Configuration Dump,Baseline,18,76
Configuration Dump,Baseline,19,74
Configuration Dump,Baseline,20,75
Configuration Dump,PostMitigation,1,0
Configuration Dump,PostMitigation,2,0
Configuration Dump,PostMitigation,3,0
Configuration Dump,PostMitigation,4,0
Configuration Dump,PostMitigation,5,0
Configuration Dump,PostMitigation,6,0
Configuration Dump,PostMitigation,7,0
Configuration Dump,PostMitigation,8,0
Configuration Dump,PostMitigation,9,0
Configuration Dump,PostMitigation,10,0
Configuration Dump,PostMitigation,11,0
Configuration Dump,PostMitigation,12,0
Configuration Dump,PostMitigation,13,0
Configuration Dump,PostMitigation,14,0
Configuration Dump,PostMitigation,15,0
Configuration Dump,PostMitigation,16,0
Configuration Dump,PostMitigation,17,0
Configuration Dump,PostMitigation,18,0
Configuration Dump,PostMitigation,19,0
Configuration Dump,PostMitigation,20,0
